Student ID,Email,Password,Class,Login URL
1,student1@aischool.net,student123,4E,http://localhost:3000/login?email=student1@aischool.net
2,student2@aischool.net,student123,4E,http://localhost:3000/login?email=student2@aischool.net
3,student3@aischool.net,student123,4E,http://localhost:3000/login?email=student3@aischool.net
4,student4@aischool.net,student123,4E,http://localhost:3000/login?email=student4@aischool.net
5,student5@aischool.net,student123,4E,http://localhost:3000/login?email=student5@aischool.net
6,student6@aischool.net,student123,4E,http://localhost:3000/login?email=student6@aischool.net
7,student7@aischool.net,student123,4E,http://localhost:3000/login?email=student7@aischool.net
8,student8@aischool.net,student123,4E,http://localhost:3000/login?email=student8@aischool.net
9,student9@aischool.net,student123,4E,http://localhost:3000/login?email=student9@aischool.net
10,student10@aischool.net,student123,4F,http://localhost:3000/login?email=student10@aischool.net
11,student11@aischool.net,student123,4F,http://localhost:3000/login?email=student11@aischool.net
12,student12@aischool.net,student123,4F,http://localhost:3000/login?email=student12@aischool.net
13,student13@aischool.net,student123,4F,http://localhost:3000/login?email=student13@aischool.net
14,student14@aischool.net,student123,4F,http://localhost:3000/login?email=student14@aischool.net
15,student15@aischool.net,student123,4F,http://localhost:3000/login?email=student15@aischool.net
16,student16@aischool.net,student123,4F,http://localhost:3000/login?email=student16@aischool.net
17,student17@aischool.net,student123,4F,http://localhost:3000/login?email=student17@aischool.net
18,student18@aischool.net,student123,4G,http://localhost:3000/login?email=student18@aischool.net
19,student19@aischool.net,student123,4G,http://localhost:3000/login?email=student19@aischool.net
20,student20@aischool.net,student123,4G,http://localhost:3000/login?email=student20@aischool.net
21,student21@aischool.net,student123,4G,http://localhost:3000/login?email=student21@aischool.net
22,student22@aischool.net,student123,4G,http://localhost:3000/login?email=student22@aischool.net
23,student23@aischool.net,student123,4G,http://localhost:3000/login?email=student23@aischool.net
24,student24@aischool.net,student123,4G,http://localhost:3000/login?email=student24@aischool.net
25,student25@aischool.net,student123,4G,http://localhost:3000/login?email=student25@aischool.net
26,student26@aischool.net,student123,5D,http://localhost:3000/login?email=student26@aischool.net
27,student27@aischool.net,student123,5D,http://localhost:3000/login?email=student27@aischool.net
28,student28@aischool.net,student123,5D,http://localhost:3000/login?email=student28@aischool.net
29,student29@aischool.net,student123,5D,http://localhost:3000/login?email=student29@aischool.net
30,student30@aischool.net,student123,5D,http://localhost:3000/login?email=student30@aischool.net
31,student31@aischool.net,student123,5D,http://localhost:3000/login?email=student31@aischool.net
32,student32@aischool.net,student123,5D,http://localhost:3000/login?email=student32@aischool.net
33,student33@aischool.net,student123,5D,http://localhost:3000/login?email=student33@aischool.net
34,student34@aischool.net,student123,5D,http://localhost:3000/login?email=student34@aischool.net
35,student35@aischool.net,student123,5E,http://localhost:3000/login?email=student35@aischool.net
36,student36@aischool.net,student123,5E,http://localhost:3000/login?email=student36@aischool.net
37,student37@aischool.net,student123,5E,http://localhost:3000/login?email=student37@aischool.net
38,student38@aischool.net,student123,5E,http://localhost:3000/login?email=student38@aischool.net
39,student39@aischool.net,student123,5E,http://localhost:3000/login?email=student39@aischool.net
40,student40@aischool.net,student123,5E,http://localhost:3000/login?email=student40@aischool.net
41,student41@aischool.net,student123,5E,http://localhost:3000/login?email=student41@aischool.net
42,student42@aischool.net,student123,5E,http://localhost:3000/login?email=student42@aischool.net
43,student43@aischool.net,student123,5F,http://localhost:3000/login?email=student43@aischool.net
44,student44@aischool.net,student123,5F,http://localhost:3000/login?email=student44@aischool.net
45,student45@aischool.net,student123,5F,http://localhost:3000/login?email=student45@aischool.net
46,student46@aischool.net,student123,5F,http://localhost:3000/login?email=student46@aischool.net
47,student47@aischool.net,student123,5F,http://localhost:3000/login?email=student47@aischool.net
48,student48@aischool.net,student123,5F,http://localhost:3000/login?email=student48@aischool.net
49,student49@aischool.net,student123,5F,http://localhost:3000/login?email=student49@aischool.net
50,student50@aischool.net,student123,5F,http://localhost:3000/login?email=student50@aischool.net
